index,Time,NOR Speed,PIA Speed,VER Speed
117,0 days 00:00:10.737000,NaN,NaN,98.0
118,0 days 00:00:10.789000,NaN,92.0,NaN
119,0 days 00:00:10.887000,95.0,NaN,NaN
120,0 days 00:00:10.978000,NaN,NaN,90.0
121,0 days 00:00:11.070000,NaN,89.0,NaN
122,0 days 00:00:11.167000,91.0,NaN,NaN
123,0 days 00:00:11.337000,NaN,NaN,84.0
124,0 days 00:00:11.366000,85.0,NaN,NaN
125,0 days 00:00:11.470000,NaN,83.0,NaN
126,0 days 00:00:11.538000,NaN,NaN,79.0
127,0 days 00:00:11.606000,84.0,NaN,NaN
128,0 days 00:00:11.630000,NaN,80.0,NaN
129,0 days 00:00:11.698000,NaN,NaN,81.0
130,0 days 00:00:11.869000,NaN,80.0,NaN
131,0 days 00:00:11.898000,NaN,NaN,86.0
132,0 days 00:00:11.926000,84.0,NaN,NaN
133,0 days 00:00:12.178000,NaN,NaN,83.0
134,0 days 00:00:12.190000,NaN,82.0,NaN
135,0 days 00:00:12.206000,82.0,NaN,NaN
136,0 days 00:00:12.349000,NaN,83.0,NaN
137,0 days 00:00:12.486000,79.0,NaN,NaN
138,0 days 00:00:12.618000,NaN,NaN,75.0
139,0 days 00:00:12.669000,NaN,79.0,NaN
140,0 days 00:00:12.807000,74.0,NaN,NaN
141,0 days 00:00:12.909000,NaN,75.0,NaN
142,0 days 00:00:12.979000,NaN,NaN,73.0
143,0 days 00:00:13.087000,76.0,NaN,NaN
144,0 days 00:00:13.110000,NaN,75.0,NaN
145,0 days 00:00:13.138000,NaN,NaN,74.0
146,0 days 00:00:13.286000,78.0,NaN,NaN
147,0 days 00:00:13.350000,NaN,74.0,NaN
148,0 days 00:00:13.418000,NaN,NaN,79.0
149,0 days 00:00:13.509000,NaN,78.0,NaN
150,0 days 00:00:13.527000,82.0,NaN,NaN
151,0 days 00:00:13.618000,NaN,NaN,84.0
152,0 days 00:00:13.687000,88.0,NaN,NaN
153,0 days 00:00:14.007000,98.0,NaN,NaN
154,0 days 00:00:14.058000,NaN,NaN,103.0
155,0 days 00:00:14.230000,NaN,99.0,NaN
156,0 days 00:00:14.247000,108.0,NaN,NaN
157,0 days 00:00:14.298000,NaN,NaN,108.0
158,0 days 00:00:14.406000,119.0,NaN,NaN
159,0 days 00:00:14.430000,NaN,109.0,NaN
160,0 days 00:00:14.659000,NaN,NaN,136.0
161,0 days 00:00:14.727000,134.0,NaN,NaN
162,0 days 00:00:14.817000,NaN,NaN,142.0
163,0 days 00:00:14.830000,NaN,128.0,NaN
164,0 days 00:00:14.927000,147.0,NaN,NaN
165,0 days 00:00:15.017000,NaN,NaN,153.0
166,0 days 00:00:15.167000,157.0,NaN,NaN
167,0 days 00:00:15.178000,NaN,NaN,163.0
168,0 days 00:00:15.270000,NaN,150.0,NaN
169,0 days 00:00:15.431000,NaN,161.0,NaN
170,0 days 00:00:15.447000,173.0,NaN,NaN
171,0 days 00:00:15.498000,NaN,NaN,178.0
172,0 days 00:00:15.687000,187.0,NaN,NaN
173,0 days 00:00:15.790000,NaN,175.0,NaN
174,0 days 00:00:15.857000,NaN,NaN,195.0
175,0 days 00:00:16.088000,203.0,NaN,NaN
176,0 days 00:00:16.098000,NaN,NaN,202.0
177,0 days 00:00:16.230000,NaN,197.0,NaN
178,0 days 00:00:16.389000,NaN,201.0,NaN
179,0 days 00:00:16.487000,216.0,NaN,NaN
180,0 days 00:00:16.538000,NaN,NaN,216.0
181,0 days 00:00:16.709000,NaN,215.0,NaN
182,0 days 00:00:16.807000,226.0,NaN,NaN
183,0 days 00:00:16.898000,NaN,NaN,228.0
184,0 days 00:00:17.070000,NaN,222.0,NaN
185,0 days 00:00:17.086000,235.0,NaN,NaN
186,0 days 00:00:17.246000,235.0,NaN,NaN
187,0 days 00:00:17.297000,NaN,NaN,239.0
188,0 days 00:00:17.350000,NaN,234.0,NaN
189,0 days 00:00:17.487000,243.0,NaN,NaN
190,0 days 00:00:17.498000,NaN,NaN,245.0
191,0 days 00:00:17.549000,NaN,239.0,NaN
192,0 days 00:00:17.727000,248.0,NaN,NaN
193,0 days 00:00:17.789000,NaN,245.0,NaN
194,0 days 00:00:17.898000,NaN,NaN,254.0
195,0 days 00:00:17.926000,254.0,NaN,NaN
196,0 days 00:00:18.109000,NaN,253.0,NaN
197,0 days 00:00:18.126000,258.0,NaN,NaN
198,0 days 00:00:18.137000,NaN,NaN,258.0
199,0 days 00:00:18.366000,263.0,NaN,NaN
200,0 days 00:00:18.377000,NaN,NaN,263.0
201,0 days 00:00:18.389000,NaN,258.0,NaN
202,0 days 00:00:18.669000,NaN,264.0,NaN
203,0 days 00:00:18.686000,270.0,NaN,NaN
204,0 days 00:00:18.778000,NaN,NaN,272.0
205,0 days 00:00:18.966000,274.0,NaN,NaN
206,0 days 00:00:18.990000,NaN,270.0,NaN
207,0 days 00:00:19.138000,NaN,NaN,277.0
208,0 days 00:00:19.167000,277.0,NaN,NaN
209,0 days 00:00:19.270000,NaN,275.0,NaN
210,0 days 00:00:19.298000,NaN,NaN,280.0
211,0 days 00:00:19.469000,NaN,278.0,NaN
212,0 days 00:00:19.526000,283.0,NaN,NaN
213,0 days 00:00:19.618000,NaN,NaN,284.0
214,0 days 00:00:19.710000,NaN,282.0,NaN
215,0 days 00:00:19.767000,286.0,NaN,NaN
216,0 days 00:00:19.858000,NaN,NaN,289.0
217,0 days 00:00:19.870000,NaN,284.0,NaN
218,0 days 00:00:20.126000,290.0,NaN,NaN
219,0 days 00:00:20.138000,NaN,NaN,290.0
220,0 days 00:00:20.190000,NaN,288.0,NaN
221,0 days 00:00:20.327000,292.0,NaN,NaN
222,0 days 00:00:20.418000,NaN,NaN,294.0
223,0 days 00:00:20.430000,NaN,291.0,NaN
224,0 days 00:00:20.487000,294.0,NaN,NaN
225,0 days 00:00:20.589000,NaN,293.0,NaN
226,0 days 00:00:20.687000,296.0,NaN,NaN
227,0 days 00:00:20.778000,NaN,NaN,297.0
228,0 days 00:00:20.910000,NaN,296.0,NaN
229,0 days 00:00:20.967000,298.0,NaN,NaN
230,0 days 00:00:21.018000,NaN,NaN,297.0
231,0 days 00:00:21.110000,NaN,297.0,NaN
232,0 days 00:00:21.179000,NaN,NaN,302.0
233,0 days 00:00:21.350000,NaN,299.0,NaN
234,0 days 00:00:21.407000,302.0,NaN,NaN
235,0 days 00:00:21.499000,NaN,NaN,304.0
236,0 days 00:00:21.630000,NaN,302.0,NaN
237,0 days 00:00:21.768000,305.0,NaN,NaN
238,0 days 00:00:21.870000,NaN,302.0,NaN
239,0 days 00:00:21.897000,NaN,NaN,307.0
240,0 days 00:00:21.927000,306.0,NaN,NaN
241,0 days 00:00:22.058000,NaN,NaN,309.0
242,0 days 00:00:22.207000,308.0,NaN,NaN
243,0 days 00:00:22.271000,NaN,306.0,NaN
244,0 days 00:00:22.338000,NaN,NaN,310.0
245,0 days 00:00:22.407000,309.0,NaN,NaN
246,0 days 00:00:22.618000,NaN,NaN,311.0
247,0 days 00:00:22.670000,NaN,309.0,NaN
248,0 days 00:00:22.778000,NaN,NaN,313.0
249,0 days 00:00:22.847000,311.0,NaN,NaN
250,0 days 00:00:22.990000,NaN,311.0,NaN
251,0 days 00:00:23.087000,313.0,NaN,NaN
252,0 days 00:00:23.098000,NaN,NaN,314.0
253,0 days 00:00:23.269000,NaN,312.0,NaN
254,0 days 00:00:23.338000,NaN,NaN,314.0
255,0 days 00:00:23.429000,NaN,314.0,NaN
256,0 days 00:00:23.448000,314.0,NaN,NaN
257,0 days 00:00:23.606000,315.0,NaN,NaN
258,0 days 00:00:23.658000,NaN,NaN,318.0
259,0 days 00:00:23.670000,NaN,314.0,NaN
260,0 days 00:00:23.806000,316.0,NaN,NaN
261,0 days 00:00:23.858000,NaN,NaN,318.0
